county,F,M,Employee Count
O'BRIEN,1.0,0.0,1.0
MARSHALL,0.7240802675585284,0.27591973244147155,1196.0
IOWA,0.7063369397217929,0.2936630602782071,647.0
LOUISA,0.6953125,0.3046875,128.0
MUSCATINE,0.6952054794520548,0.3047945205479452,584.0
KEOKUK,0.6715686274509803,0.3284313725490196,204.0
WASHINGTON,0.669803250641574,0.330196749358426,1169.0
TAMA,0.6643109540636042,0.33568904593639576,283.0
CEDAR,0.6548223350253807,0.34517766497461927,591.0
SCOTT,0.6434659090909091,0.3565340909090909,704.0
BENTON,0.6370370370370371,0.362962962962963,270.0
Johnson,0.6363636363636364,0.36363636363636365,11.0
LINN,0.6288318144159072,0.3711681855840928,2414.0
BUCHANAN,0.625,0.375,376.0
CLAY,0.6140350877192983,0.38596491228070173,114.0
MILLS,0.6099476439790575,0.3900523560209424,764.0
UNION,0.6024096385542169,0.39759036144578314,83.0
POTTAWATTAMIE,0.6002928257686676,0.39970717423133234,683.0
WAPELLO,0.5966850828729282,0.40331491712707185,181.0
CLINTON,0.5947368421052631,0.4052631578947368,190.0
BUTLER,0.5918367346938775,0.40816326530612246,147.0
HOWARD,0.5833333333333334,0.4166666666666667,36.0
IDA,0.5789473684210527,0.42105263157894735,38.0
BLACK HAWK,0.5774754346182918,0.42252456538170824,2646.0
CARROLL,0.5769230769230769,0.4230769230769231,130.0
JOHNSON,0.5659596821853043,0.43404031781469565,15229.0
HAMILTON,0.562992125984252,0.43700787401574803,254.0
WARREN,0.5622047244094488,0.4377952755905512,635.0
MARION,0.5613207547169812,0.4386792452830189,212.0
POLK,0.5594213742361891,0.44057862576381096,8019.0
GRUNDY,0.5590062111801242,0.4409937888198758,161.0
DALLAS,0.5585683297180043,0.44143167028199565,922.0
MADISON,0.5563380281690141,0.44366197183098594,142.0
BUENA VISTA,0.5533980582524272,0.44660194174757284,103.0
MAHASKA,0.5533980582524272,0.44660194174757284,103.0
MITCHELL,0.5517241379310345,0.4482758620689655,29.0
WINNESHIEK,0.5486725663716814,0.45132743362831856,113.0
SIOUX,0.5454545454545454,0.45454545454545453,66.0
FAYETTE,0.544,0.456,125.0
BOONE,0.5438066465256798,0.4561933534743202,1324.0
FREMONT,0.5396825396825397,0.4603174603174603,126.0
CLARKE,0.5375,0.4625,80.0
RINGGOLD,0.5294117647058824,0.47058823529411764,34.0
MONTGOMERY,0.5259259259259259,0.4740740740740741,135.0
CHEROKEE,0.5198776758409785,0.4801223241590214,327.0
BREMER,0.5165876777251185,0.4834123222748815,211.0
CHICKASAW,0.5164835164835165,0.4835164835164835,91.0
APPANOOSE,0.5128205128205128,0.48717948717948717,78.0
DUBUQUE,0.5085995085995086,0.4914004914004914,407.0
FLOYD,0.5079365079365079,0.49206349206349204,63.0
DES MOINES,0.5072886297376094,0.49271137026239065,343.0
WOODBURY,0.5059523809523809,0.49404761904761907,504.0
GREENE,0.5042735042735043,0.49572649572649574,117.0
HENRY,0.5029821073558648,0.4970178926441352,503.0
ADAMS,0.5,0.5,32.0
FRANKLIN,0.49333333333333335,0.5066666666666667,75.0
POWESHIEK,0.49122807017543857,0.5087719298245614,114.0
EMMET,0.48936170212765956,0.5106382978723404,47.0
GUTHRIE,0.48695652173913045,0.5130434782608696,115.0
CRAWFORD,0.4852941176470588,0.5147058823529411,68.0
DICKINSON,0.484375,0.515625,128.0
POCAHONTAS,0.48333333333333334,0.5166666666666667,60.0
HUMBOLDT,0.4827586206896552,0.5172413793103449,58.0
HARDIN,0.475,0.525,280.0
WAYNE,0.47368421052631576,0.5263157894736842,38.0
WINNEBAGO,0.47058823529411764,0.5294117647058824,51.0
CERRO GORDO,0.47038327526132406,0.5296167247386759,287.0
JASPER,0.47005444646098005,0.52994555353902,551.0
WEBSTER,0.46731234866828086,0.5326876513317191,413.0
DAVIS,0.46551724137931033,0.5344827586206896,58.0
MONROE,0.46153846153846156,0.5384615384615384,65.0
PALO ALTO,0.4594594594594595,0.5405405405405406,37.0
JEFFERSON,0.45864661654135336,0.5413533834586466,133.0
DELAWARE,0.4583333333333333,0.5416666666666666,144.0
SAC,0.4576271186440678,0.5423728813559322,59.0
PAGE,0.45738636363636365,0.5426136363636364,352.0
KOSSUTH,0.453125,0.546875,64.0
SHELBY,0.44776119402985076,0.5522388059701493,67.0
TAYLOR,0.4457831325301205,0.5542168674698795,83.0
STORY,0.44560170661312587,0.5543982933868742,7969.0
WRIGHT,0.43636363636363634,0.5636363636363636,55.0
VAN BUREN,0.4268292682926829,0.573170731707317,82.0
AUDUBON,0.4146341463414634,0.5853658536585366,41.0
CLAYTON,0.40816326530612246,0.5918367346938775,98.0
DECATUR,0.40425531914893614,0.5957446808510638,47.0
HARRISON,0.4025974025974026,0.5974025974025974,77.0
WORTH,0.4,0.6,40.0
JACKSON,0.3937007874015748,0.6062992125984252,127.0
LEE,0.390625,0.609375,576.0
CASS,0.3870967741935484,0.6129032258064516,124.0
ADAIR,0.3870967741935484,0.6129032258064516,62.0
PLYMOUTH,0.38636363636363635,0.6136363636363636,132.0
OSCEOLA,0.3793103448275862,0.6206896551724138,29.0
MONONA,0.36666666666666664,0.6333333333333333,60.0
JONES,0.36619718309859156,0.6338028169014085,355.0
CALHOUN,0.3259668508287293,0.6740331491712708,181.0
ALLAMAKEE,0.3064516129032258,0.6935483870967742,62.0
LYON,0.2916666666666667,0.7083333333333334,24.0
LUCAS,0.27848101265822783,0.7215189873417721,79.0
HANCOCK,0.27450980392156865,0.7254901960784313,51.0
